kml,distance,centroid_long,centroid_lat
kml_1,0.064520408,114.1436062,22.49842988
kml_2,0.078808784,114.1407488,22.49861916
kml_3,0.385196085,114.1437417,22.49783569
kml_4,0.344775298,114.1461111,22.50018127
kml_5,0.114020265,114.1372311,22.49895696
kml_6,0.354002837,114.1329818,22.49809773
kml_7,0.23980506,114.135704,22.4994667
kml_9,0.161002235,114.1281362,22.49904374
kml_10,0.341384853,114.1248448,22.50004625
kml_11,0.298135999,114.1313269,22.49953137
kml_12,0.149202968,114.1231619,22.49896937
kml_13,0.232719577,114.1334125,22.50018045
kml_14,0.079086959,114.1403552,22.50019494
kml_15,0.159670285,114.1462514,22.50077816
kml_16,0.159205438,114.1295842,22.50049933
kml_17,0.159561292,114.1400497,22.50157217
kml_18,0.636790354,114.1375171,22.50283473
kml_19,0.00663814,114.1336131,22.50133084
kml_20,0.023360629,114.1337237,22.50126532
kml_21,0.066942498,114.1463993,22.50168132
kml_22,0.093588778,114.1270618,22.50224249
kml_23,0.222328787,114.1429755,22.50190716
kml_24,0.17679491,114.1411436,22.50188333
kml_25,0.144515722,114.1287081,22.50222287
kml_26,0.202288393,114.1452367,22.5021151
kml_27,0.083314846,114.1254201,22.50264144
kml_28,0.115228013,114.1333081,22.50180313
kml_29,0.037797464,114.1330941,22.50225061
kml_30,0.0352587,114.1266267,22.50267961
kml_31,0.093824841,114.1328041,22.50231045
kml_32,0.282451522,114.1251561,22.50381143
kml_33,0.223770106,114.1312241,22.50381832
kml_34,0.098585156,114.1297638,22.50323967
kml_35,0.071239674,114.1247118,22.50301447
kml_36,0.18279953,114.1483811,22.50257716
kml_37,0.296024277,114.1237761,22.5015493
kml_38,0.050005395,114.1240309,22.50321329
kml_39,0.089812816,114.1302435,22.50368735
kml_40,0.21503792,114.1217554,22.50416991
kml_41,0.039247939,114.1303592,22.50409674
kml_42,0.182916562,114.1256088,22.50485715
kml_43,0.497761097,114.1285977,22.50646427
kml_44,0.081449963,114.1248961,22.50499091
kml_45,0.134705296,114.1205197,22.5052137
kml_46,0.087879927,114.1252742,22.50546624
kml_47,0.019552996,114.1249331,22.50516434
kml_48,0.077631832,114.1244762,22.50554448
kml_49,0.027114035,114.1205085,22.50579472
kml_50,0.13599956,114.1260177,22.50640046
kml_51,0.091289862,114.1180875,22.50658646
kml_52,0.101561981,114.1234175,22.50642069
kml_53,0.065406869,114.1178032,22.50740631
kml_54,0.030759888,114.1176497,22.50790797
kml_55,0.177013503,114.1171082,22.5089592
kml_56,0.001576087,114.117324,22.50860657
kml_57,0.085325536,114.1264328,22.50923544
kml_58,0.001520666,114.116844,22.50941984
kml_59,0.099522465,114.126607,22.5099791
kml_60,0.31960233,114.1158835,22.51095243
kml_61,0.090322723,114.1266013,22.51093908
kml_62,0.222982623,114.111181,22.51123763
kml_63,0.080906993,114.1128123,22.51206739
kml_64,0.064305628,114.1259017,22.51219328
kml_65,0.178900556,114.1138877,22.51255818
kml_66,0.087230259,114.1722374,22.4582629
kml_67,0.128041529,114.178206,22.4589555
kml_68,0.20529617,114.1786156,22.45891458
kml_69,0.856924264,114.1850729,22.46104295
kml_70,0.039930162,114.1807448,22.45918423
kml_71,0.372396321,114.1826672,22.45966882
kml_72,0.008407829,114.1798494,22.45921929
kml_73,0.566939316,114.2004392,22.45966156
kml_74,0.44021424,114.1965865,22.45978061
kml_75,0.03108437,114.1789748,22.45928526
kml_76,0.02449851,114.1792868,22.45929183
kml_77,0.12861922,114.1462969,22.45987389
kml_78,0.038535869,114.1470438,22.46002908
kml_79,0.164320319,114.1474122,22.46070003
kml_80,0.003127722,114.1838957,22.46073719
kml_81,0.11708137,114.1841301,22.46106812
kml_82,0.189681211,114.193332,22.46108909
kml_83,0.084550163,114.191214,22.46182359
kml_84,0.260604107,114.2045664,22.460871
kml_85,0.052932666,114.2055412,22.46210685
kml_86,0.209330133,114.1891823,22.46208695
kml_87,0.004061293,114.2057474,22.46229196
kml_88,0.157475523,114.2063114,22.4626114
kml_89,0.176471126,114.1877935,22.46233403
kml_90,0.00305319,114.1868043,22.46230618
kml_91,0.010426207,114.1867629,22.46232792
kml_92,0.241357634,114.207451,22.46399784
kml_93,0.052376539,114.2083877,22.46529747
kml_94,0.28696519,114.2088053,22.46671533
kml_95,0.047674141,114.2089706,22.46823204
kml_96,0.35823241,114.2200024,22.47066881
kml_97,0.565489146,114.2167743,22.47192434
kml_98,0.27117978,114.2331755,22.47080165
kml_99,0.055678347,114.211257,22.47108999
kml_100,0.33510125,114.2232472,22.47151309
kml_101,0.037447977,114.2116247,22.47145067
kml_102,0.129722046,114.2331989,22.47249642
kml_103,0.063741415,114.2260726,22.47178463
kml_104,0.094242512,114.2270005,22.47185173
kml_105,0.139120822,114.2279468,22.47197403
kml_106,0.074760587,114.2120457,22.47190069
kml_107,0.103126916,114.2293768,22.47221225
kml_108,0.02817144,114.2124436,22.47234254
kml_109,0.07322107,114.2300193,22.47235642
